id,name,year,glottocode,country,map_name_full,note
56,English,2024,stan1293,South Sudan,,
57,Somali,2024,soma1255,Somalia,,
58,Arabic,2024,stan1318,Somalia,,
59,English,2024,stan1293,Kenya,,
60,Swahili,2024,swah1253,Kenya,,
61,English,2024,stan1293,Malawi,,
62,Chichewa,2024,nyan1308,Malawi,,
63,Swahili,2024,swah1253,Tanzania,,
64,English,2024,stan1293,Tanzania,,
65,Arabic,2024,stan1318,Syria,,
66,Arabic,2024,stan1318,Somaliland,,
67,English,2024,stan1293,Somaliland,,
68,Somali,2024,soma1255,Somaliland,,
69,French,2024,stan1290,France,,
70,Dutch,2024,dutc1256,Suriname,,
71,English,2024,stan1293,Guyana,,
72,Korean,2024,kore1280,Republic of Korea,,
73,Korean,2024,kore1280,Dem. Rep. Korea,,
74,Arabic,2024,stan1318,Morocco,,
75,Berber,2024,berb1260,Morocco,,
76,Arabic,2024,stan1318,Western Sahara,,
77,Spanish,2024,stan1288,Western Sahara,,
78,Spanish,2024,stan1288,Costa Rica,,
79,Spanish,2024,stan1288,Nicaragua,,
80,French,2024,stan1290,Republic of the Congo,,
81,French,2024,stan1290,Democratic Republic of the Congo,,
82,Dzongkha,2024,dzon1239,Bhutan,,
83,Ukrainian,2024,ukra1253,Ukraine,,
84,Belarusian,2024,bela1254,Belarus,,
85,Russian,2024,russ1263,Belarus,,
86,English,2024,stan1293,Namibia,,
87,Afrikaans,2024,afri1274,South Africa,,
88,English,2024,stan1293,South Africa,,
89,Southern Ndebele,2024,sout2808,South Africa,,
90,Sotho,2024,sout2807,South Africa,,
91,Northern Sotho,2024,nort3233,South Africa,,
92,Swazi,2024,swat1243,South Africa,,
93,Tsonga,2024,tson1249,South Africa,,
94,Tswana,2024,tswa1253,South Africa,,
95,Venda,2024,vend1245,South Africa,,
96,Xhosa,2024,xhos1239,South Africa,,
97,Zulu,2024,zulu1248,South Africa,,
98,Arabic,2024,stan1318,Oman,,
99,Uzbek,2024,uzbe1247,Uzbekistan,,
100,Kazakh,2024,kaza1248,Kazakhstan,,
101,Russian,2024,russ1263,Kazakhstan,,
102,Tajik,2024,taji1245,Tajikistan,,
103,Lithuanian,2024,lith1251,Lithuania,,
104,Portuguese,2024,port1283,Brazil,,
105,Spanish,2024,stan1288,Uruguay,,
106,Mongolian,2024,mong1331,Mongolia,,
107,Russian,2024,russ1263,Russian Federation,,
108,Czech,2024,czec1258,Czech Republic,,
109,Slovak,2024,slov1269,Czech Republic,,
110,German,2024,stan1295,Germany,,
111,Estonian,2024,esto1258,Estonia,,
112,Latvian,2024,latv1249,Latvia,,
113,Norwegian,2024,norw1258,Norway,,
114,Sami languages,2024,saam1281,Norway,,
115,Swedish,2024,swed1254,Sweden,,
116,Finnish,2024,finn1318,Finland,,
117,Swedish,2024,swed1254,Finland,,
118,Vietnamese,2024,viet1252,Vietnam,,
119,Khmer,2024,cent1989,Cambodia,,
120,French,2024,stan1290,Luxembourg,,
121,German,2024,stan1295,Luxembourg,,
122,Luxembourgish,2024,luxe1241,Luxembourg,,
123,Arabic,2024,stan1318,United Arab Emirates,,
124,Dutch,2024,dutc1256,Belgium,,
